State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.6946569928047106	0.09750863062928802	1.1337644871013222E-4	6.7134107899743E-5	0.0	0.0012653760174052046	0.16947337103711554	0.006902081503857587	0.003184297051353839	0.014931032688030981	1.3884827110074549E-4	0.0	0.0	0.0012760899620469514	0.01048276947848067
2	0.11811978808415269	0.666271371642081	0.0656986217607429	0.005066247157403241	0.03523841815736527	0.08129814089298831	0.018577915319525153	0.004664928768867582	0.0	0.003406206715187568	0.0015632075021339016	0.0	0.0	0.0	9.515399955256264E-5
3	5.428892668730176E-4	0.06180851589688899	0.739914824846253	0.09516700251765489	0.10007332038181245	0.0	9.896560051654171E-4	0.0	0.0	0.0	0.0013117942812553517	0.0	0.0	1.6817637905922254E-4	2.382042503754258E-5
4	2.3048022427693172E-4	0.006314858230215457	0.11118136592453837	0.7567920585876684	0.01676368473107032	0.0	0.0	0.10462573136900027	0.0	0.0012827118452199662	0.002809109088010231	0.0	0.0	0.0	0.0
5	0.0	0.032225828413929535	0.0878971910271614	0.012388722108269955	0.6086176876016953	0.008622082512469709	0.024025131599372154	0.010241933375745537	5.384529513699616E-4	0.03697402795480657	0.07262847764669661	0.0922548956299074	0.009938044866407368	0.003374396506330881	2.731278058372749E-4
6	0.001747153121265523	0.07756077456112158	0.0	0.0	0.01053182287149361	0.5750181829530361	0.3079484544352458	0.002389606608003986	0.0	0.004638712639118095	0.020106707477850552	0.0	0.0	0.0	5.8585332864668584E-5
7	0.03889932123615381	0.0034177928875143942	0.0	0.0	0.004229209880134787	0.060015797129712604	0.7059485000986817	0.0021150424766329	6.941151574807595E-4	0.08365971083999114	0.07928092143288307	0.01959542229148686	1.5402773564522455E-4	8.665664278321173E-4	0.0011235724058505524
8	0.005693534734600253	0.0030867888216614286	0.0	0.06328514845179926	0.008233668154597872	0.0016767197354014183	0.007706156215466612	0.7694404492174616	0.12009354130655214	0.0027198006778969565	0.0	0.0	0.0	0.0018706949433162587	0.016193497741246156
9	7.090455673834701E-4	0.0	0.0	0.0	9.772797774050895E-5	0.0	6.800872636827437E-4	0.025683432491702192	0.9428373467931479	0.024708399692479486	0.0	0.0	0.0	7.287175303673215E-6	0.005276673038560217
10	6.679666163698878E-4	1.0181044550638116E-4	4.218636854547859E-5	0.0	0.0016586976203246707	1.8535103434757673E-4	0.015683020855564396	1.9694364089407223E-4	0.005515521778459006	0.9645032355064301	5.678732834869997E-5	6.460980503993842E-4	0.0	5.234286060365123E-4	0.010218952148773806
11	4.312356343364476E-6	1.0831302696819333E-5	6.1003359318399414E-6	7.835021625664105E-6	6.053394130072261E-4	1.5116918731121842E-4	0.0028057137633105385	0.0	0.0	5.965073598605859E-6	0.9858089103018937	0.008676254802228306	1.2176592477672347E-4	0.001795802517276104	0.0
12	0.0	0.0	0.0	0.0	0.002952155452341767	0.0	0.0030416304157430472	0.0	0.0	4.2659941460666546E-4	0.03569023401660031	0.9497634147306206	0.00812521742217843	7.485479090134564E-7	0.0
13	0.0	0.0	0.0	0.0	0.0012281852037601287	3.8824413924090925E-5	6.338636426882382E-5	0.0	0.0	0.0	0.0019056638427058061	0.030113988277847253	0.9659258423966205	7.203710842296051E-4	3.7384166439510147E-6
14	0.0010294296621131199	3.653785933331294E-5	1.7759649848052102E-4	0.0014027191075260135	0.0012181529284462362	0.0	0.002738144929879122	8.656787468681761E-4	0.0	0.007855620931339255	0.13542076525935678	5.843031357415979E-6	0.003387915217762034	0.8449670540575935	8.94541769944515E-4
15	0.0014515538031128444	0.0	4.817874752867426E-7	1.7060222319972235E-5	0.0	0.0	6.911711151176928E-4	0.002284452919250835	0.003540012897198009	0.03159916754071855	0.0	0.0	0.0	2.3137854610126858E-4	0.9601847211687059
