15	10	E	-9153633.322695628	200
transitionprobs	11	7	0.0028057137633105385
transitionprobs	11	8	0.0
transitionprobs	11	9	0.0
transitionprobs	11	10	5.965073598605859E-6
transitionprobs	11	11	0.9858089103018937
transitionprobs	11	12	0.008676254802228306
transitionprobs	11	13	1.2176592477672347E-4
transitionprobs	11	14	0.001795802517276104
transitionprobs	11	15	0.0
transitionprobs	12	1	0.0
transitionprobs	12	2	0.0
transitionprobs	12	3	0.0
transitionprobs	12	4	0.0
transitionprobs	12	5	0.002952155452341767
transitionprobs	12	6	0.0
transitionprobs	12	7	0.0030416304157430472
transitionprobs	12	8	0.0
transitionprobs	12	9	0.0
transitionprobs	12	10	4.2659941460666546E-4
transitionprobs	12	11	0.03569023401660031
transitionprobs	12	12	0.9497634147306206
transitionprobs	12	13	0.00812521742217843
transitionprobs	12	14	7.485479090134564E-7
transitionprobs	12	15	0.0
transitionprobs	13	1	0.0
transitionprobs	13	2	0.0
transitionprobs	13	3	0.0
transitionprobs	13	4	0.0
transitionprobs	13	5	0.0012281852037601287
transitionprobs	13	6	3.8824413924090925E-5
transitionprobs	13	7	6.338636426882382E-5
transitionprobs	13	8	0.0
transitionprobs	13	9	0.0
transitionprobs	13	10	0.0
transitionprobs	13	11	0.0019056638427058061
transitionprobs	13	12	0.030113988277847253
transitionprobs	13	13	0.9659258423966205
transitionprobs	13	14	7.203710842296051E-4
transitionprobs	13	15	3.7384166439510147E-6
transitionprobs	14	1	0.0010294296621131199
transitionprobs	14	2	3.653785933331294E-5
transitionprobs	14	3	1.7759649848052102E-4
transitionprobs	14	4	0.0014027191075260135
transitionprobs	14	5	0.0012181529284462362
transitionprobs	14	6	0.0
transitionprobs	14	7	0.002738144929879122
transitionprobs	14	8	8.656787468681761E-4
transitionprobs	14	9	0.0
transitionprobs	14	10	0.007855620931339255
transitionprobs	14	11	0.13542076525935678
transitionprobs	14	12	5.843031357415979E-6
transitionprobs	14	13	0.003387915217762034
transitionprobs	14	14	0.8449670540575935
transitionprobs	14	15	8.94541769944515E-4
transitionprobs	15	1	0.0014515538031128444
transitionprobs	15	2	0.0
transitionprobs	15	3	4.817874752867426E-7
transitionprobs	15	4	1.7060222319972235E-5
transitionprobs	15	5	0.0
transitionprobs	15	6	0.0
transitionprobs	15	7	6.911711151176928E-4
transitionprobs	15	8	0.002284452919250835
transitionprobs	15	9	0.003540012897198009
transitionprobs	15	10	0.03159916754071855
transitionprobs	15	11	0.0
transitionprobs	15	12	0.0
transitionprobs	15	13	0.0
transitionprobs	15	14	2.3137854610126858E-4
transitionprobs	15	15	0.9601847211687059
emissionprobs	1	0	H3k04me1	0	0.18478743152924734
emissionprobs	1	0	H3k04me1	1	0.8152125684707526
emissionprobs	1	1	H3k09me3	0	0.9844958609194179
emissionprobs	1	1	H3k09me3	1	0.015504139080582008
emissionprobs	1	2	H3k27ac	0	0.12362700560633692
emissionprobs	1	2	H3k27ac	1	0.8763729943936631
emissionprobs	1	3	H3k27me3	0	0.9971172267023174
emissionprobs	1	3	H3k27me3	1	0.0028827732976826745
emissionprobs	1	4	H3k36me3	0	0.9380910142499309
emissionprobs	1	4	H3k36me3	1	0.061908985750069145
emissionprobs	1	5	H3k4me2	0	0.533778970234454
emissionprobs	1	5	H3k4me2	1	0.4662210297655461
emissionprobs	1	6	H3k4me3	0	0.9715718338627632
emissionprobs	1	6	H3k4me3	1	0.028428166137236824
emissionprobs	1	7	H3k79me2	0	0.9078725958257611
emissionprobs	1	7	H3k79me2	1	0.09212740417423892
emissionprobs	1	8	H3k9ac	0	0.8000834046406018
emissionprobs	1	8	H3k9ac	1	0.19991659535939812
emissionprobs	1	9	H4k20me1	0	0.9491978599942613
emissionprobs	1	9	H4k20me1	1	0.05080214000573871
emissionprobs	2	0	H3k04me1	0	0.059559073861218365
emissionprobs	2	0	H3k04me1	1	0.9404409261387817
emissionprobs	2	1	H3k09me3	0	0.9909526940942417
emissionprobs	2	1	H3k09me3	1	0.009047305905758302
emissionprobs	2	2	H3k27ac	0	0.061692534235072156
emissionprobs	2	2	H3k27ac	1	0.9383074657649279
emissionprobs	2	3	H3k27me3	0	0.9918398176105089
emissionprobs	2	3	H3k27me3	1	0.00816018238949103
emissionprobs	2	4	H3k36me3	0	0.9794909614849184
emissionprobs	2	4	H3k36me3	1	0.020509038515081623
emissionprobs	2	5	H3k4me2	0	9.014574465249454E-4
emissionprobs	2	5	H3k4me2	1	0.9990985425534751
emissionprobs	2	6	H3k4me3	0	0.2231891936016733
emissionprobs	2	6	H3k4me3	1	0.7768108063983267
emissionprobs	2	7	H3k79me2	0	0.8737386295870739
emissionprobs	2	7	H3k79me2	1	0.12626137041292615
